2018-07-20, BUY EXECUTED, 191.78
2018-07-20, SELL ATTEMPT, 190.11
2018-07-20, BUY EXECUTED, 191.78
2018-07-20, SELL ATTEMPT, 190.11
2018-07-20, BUY EXECUTED, 191.78
2018-07-20, SELL ATTEMPT, 190.11
2018-07-23, SELL EXECUTED, 190.68

2018-07-23, SELL EXECUTED, 190.68

2018-07-23, NET, -1.10

2018-07-23, BUY ATTEMPT, 190.28
2018-07-23, SELL EXECUTED, 190.68

2018-07-23, SELL EXECUTED, 190.68

2018-07-23, NET, -1.10

2018-07-23, BUY ATTEMPT, 190.28
2018-07-23, SELL EXECUTED, 190.68

2018-07-23, SELL EXECUTED, 190.68

2018-07-23, NET, -1.10

2018-07-23, BUY ATTEMPT, 190.28
2018-07-24, BUY EXECUTED, 192.45
2018-07-24, SELL ATTEMPT, 191.66
2018-07-24, BUY EXECUTED, 192.45
2018-07-24, SELL ATTEMPT, 191.66
2018-07-24, BUY EXECUTED, 192.45
2018-07-24, SELL ATTEMPT, 191.66
2018-07-25, SELL EXECUTED, 193.06

2018-07-25, SELL EXECUTED, 193.06

2018-07-25, NET, +0.61

2018-07-25, BUY ATTEMPT, 193.46
2018-07-25, SELL EXECUTED, 193.06

2018-07-25, SELL EXECUTED, 193.06

2018-07-25, NET, +0.61

2018-07-25, BUY ATTEMPT, 193.46
2018-07-25, SELL EXECUTED, 193.06

2018-07-25, SELL EXECUTED, 193.06

2018-07-25, NET, +0.61

2018-07-25, BUY ATTEMPT, 193.46
2018-07-26, BUY EXECUTED, 194.61
2018-07-26, SELL ATTEMPT, 192.86
2018-07-26, BUY EXECUTED, 194.61
2018-07-26, SELL ATTEMPT, 192.86
2018-07-26, BUY EXECUTED, 194.61
2018-07-26, SELL ATTEMPT, 192.86
2018-07-27, SELL EXECUTED, 194.99

2018-07-27, SELL EXECUTED, 194.99

2018-07-27, NET, +0.38

2018-07-27, BUY ATTEMPT, 189.65
2018-07-27, SELL EXECUTED, 194.99

2018-07-27, SELL EXECUTED, 194.99

2018-07-27, NET, +0.38

2018-07-27, BUY ATTEMPT, 189.65
2018-07-27, SELL EXECUTED, 194.99

2018-07-27, SELL EXECUTED, 194.99

2018-07-27, NET, +0.38

2018-07-27, BUY ATTEMPT, 189.65
2018-07-30, BUY EXECUTED, 191.90
2018-07-30, SELL ATTEMPT, 188.59
2018-07-30, BUY EXECUTED, 191.90
2018-07-30, SELL ATTEMPT, 188.59
2018-07-30, BUY EXECUTED, 191.90
2018-07-30, SELL ATTEMPT, 188.59
2018-07-31, SELL EXECUTED, 190.30

2018-07-31, SELL EXECUTED, 190.30

2018-07-31, NET, -1.60

2018-07-31, BUY ATTEMPT, 188.97
2018-07-31, SELL EXECUTED, 190.30

2018-07-31, SELL EXECUTED, 190.30

2018-07-31, NET, -1.60

2018-07-31, BUY ATTEMPT, 188.97
2018-07-31, SELL EXECUTED, 190.30

2018-07-31, SELL EXECUTED, 190.30

2018-07-31, NET, -1.60

2018-07-31, BUY ATTEMPT, 188.97
2018-08-01, BUY EXECUTED, 199.13
2018-08-01, SELL ATTEMPT, 200.10
2018-08-01, BUY EXECUTED, 199.13
2018-08-01, SELL ATTEMPT, 200.10
2018-08-01, BUY EXECUTED, 199.13
2018-08-01, SELL ATTEMPT, 200.10
2018-08-02, SELL EXECUTED, 200.58

2018-08-02, SELL EXECUTED, 200.58

2018-08-02, NET, +1.45

2018-08-02, BUY ATTEMPT, 205.95
2018-08-02, SELL EXECUTED, 200.58

2018-08-02, SELL EXECUTED, 200.58

2018-08-02, NET, +1.45

2018-08-02, BUY ATTEMPT, 205.95
2018-08-02, SELL EXECUTED, 200.58

2018-08-02, SELL EXECUTED, 200.58

2018-08-02, NET, +1.45

2018-08-02, BUY ATTEMPT, 205.95
2018-08-03, BUY EXECUTED, 207.03
2018-08-03, SELL ATTEMPT, 206.54
2018-08-03, BUY EXECUTED, 207.03
